"sampleID","classLabel","maxProbability"
"TCGA.BL.A0C8","4","0.9948766827583313"
"TCGA.BT.A20V","2","0.998417854309082"
"TCGA.BT.A20X","2","0.9999997615814209"
"TCGA.BT.A2LA","1","0.9904100894927979"
"TCGA.C4.A0EZ","1","0.9995537400245667"
"TCGA.CF.A9FM","4","0.9364004731178284"
"TCGA.DK.A6B2","2","0.9998499155044556"
"TCGA.FD.A3B4","2","1"
"TCGA.FD.A3N6","2","0.9999998807907104"
"TCGA.G2.A2EL","2","0.9952532052993774"
"TCGA.HQ.A2OF","1","0.9831421375274658"
"TCGA.FA.8693","2","0.9999995231628418"
"TCGA.FA.A4BB","2","0.9999958276748657"
"TCGA.FA.A4XK","2","0.9984436631202698"
"TCGA.FA.A6HN","2","0.9999545812606812"
"TCGA.FA.A6HO","2","0.9999545812606812"
"TCGA.FA.A7DS","2","0.9999990463256836"
"TCGA.FA.A7Q1","2","0.9999428987503052"
"TCGA.FA.A82F","2","0.9999841451644897"
"TCGA.FA.A86F","2","0.9999998807907104"
"TCGA.FF.8041","2","1"
"TCGA.FF.8042","2","0.9999939203262329"
"TCGA.FF.8043","2","0.9999178647994995"
"TCGA.FF.8046","2","0.9999974966049194"
"TCGA.FF.8047","2","0.9999986886978149"
"TCGA.FF.8061","2","0.9999630451202393"
"TCGA.FF.8062","2","0.9999984502792358"
"TCGA.FF.A7CQ","2","0.9999910593032837"
"TCGA.FF.A7CR","2","0.9999817609786987"
"TCGA.FF.A7CW","2","0.9999980926513672"
"TCGA.FF.A7CX","2","0.9999915361404419"
"TCGA.FM.8000","2","0.9999467134475708"
"TCGA.G8.6324","2","0.9999402761459351"
"TCGA.G8.6325","2","0.9999991655349731"
"TCGA.G8.6326","2","0.9978141784667969"
"TCGA.G8.6906","2","0.9999855756759644"
"TCGA.G8.6907","2","0.999042809009552"
"TCGA.G8.6909","2","0.9999997615814209"
"TCGA.G8.6914","2","0.9999991655349731"
"TCGA.GR.7351","2","0.9999644756317139"
"TCGA.GR.7353","2","0.9999980926513672"
"TCGA.GR.A4D4","2","0.9994669556617737"
"TCGA.GR.A4D5","2","0.9999908208847046"
"TCGA.GR.A4D6","2","0.9999972581863403"
"TCGA.GR.A4D9","2","0.9999914169311523"
"TCGA.GS.A9TQ","2","0.9999973773956299"
"TCGA.GS.A9TT","2","0.9970142841339111"
"TCGA.GS.A9TU","2","0.9999841451644897"
"TCGA.GS.A9TV","2","0.9999997615814209"
"TCGA.GS.A9TW","2","0.9999997615814209"
"TCGA.GS.A9TX","2","0.9999364614486694"
"TCGA.GS.A9TY","2","0.9993337988853455"
"TCGA.GS.A9TZ","2","0.9999406337738037"
"TCGA.GS.A9U3","2","0.9999616146087646"
"TCGA.GS.A9U4","2","0.9999994039535522"
"TCGA.RQ.A68N","2","0.9999991655349731"
"TCGA.RQ.A6JB","2","0.9999510049819946"
"TCGA.RQ.AAAT","2","0.9856337904930115"
"TCGA.VB.A8QN","2","0.9999634027481079"
"TCGA.FL.A1YF","3","0.9871826171875"
"TCGA.FL.A1YG","NC","0.8995353579521179"
"TCGA.FL.A1YH","NC","0.7173711061477661"
"TCGA.FL.A1YI","3","0.980989396572113"
"TCGA.FL.A1YL","3","0.9998434782028198"
"TCGA.FL.A1YN","3","0.9996776580810547"
"TCGA.FL.A1YQ","1","0.9927306771278381"
"TCGA.FL.A1YT","3","0.9953919649124146"
"TCGA.FL.A1YU","1","0.9999995231628418"
"TCGA.FL.A1YV","3","0.9681669473648071"
"TCGA.FL.A3WE","1","0.9995123147964478"
"TCGA.3N.A9WB","NC","0.7999831438064575"
"TCGA.3N.A9WC","2","0.9996059536933899"
"TCGA.3N.A9WD","2","0.9990045428276062"
"TCGA.BF.AAP0","2","0.9992600083351135"
"TCGA.D3.A1Q1","4","0.9944051504135132"
"TCGA.D3.A1Q3","NC","0.48843878507614136"
"TCGA.D3.A1Q4","1","0.9936180114746094"
"TCGA.D3.A1Q5","3","0.9472439885139465"
"TCGA.D3.A1Q6","4","0.9305633306503296"
"TCGA.D3.A1Q7","2","0.9999778270721436"
"TCGA.D3.A1Q8","NC","0.8229963183403015"
"TCGA.D3.A1Q9","2","0.9894894957542419"
"TCGA.D3.A1QA","2","0.9491556286811829"
"TCGA.D3.A1QB","2","0.999920129776001"
"TCGA.D3.A2J6","2","0.993294894695282"
"TCGA.D3.A2J7","2","0.9999394416809082"
"TCGA.D3.A2J8","2","0.9999995231628418"
"TCGA.D3.A2J9","NC","0.6265207529067993"
"TCGA.D3.A2JA","2","0.996892511844635"
"TCGA.D3.A2JB","2","0.9999963045120239"
"TCGA.D3.A2JC","NC","0.8299468159675598"
"TCGA.D3.A2JD","3","0.9940236210823059"
"TCGA.D3.A2JE","1","0.9940859079360962"
"TCGA.D3.A2JF","2","0.999940037727356"
"TCGA.D3.A2JG","NC","0.8736305832862854"
"TCGA.D3.A2JH","2","0.9999812841415405"
"TCGA.D3.A2JK","3","0.9644666910171509"
"TCGA.D3.A2JL","2","0.9999945163726807"
"TCGA.D3.A2JN","NC","0.5914023518562317"
"TCGA.D3.A2JO","2","0.9999364614486694"
"TCGA.D3.A2JP","2","0.9866318106651306"
"TCGA.D3.A3BZ","2","0.9361473917961121"
"TCGA.D3.A3C1","NC","0.49970531463623047"
"TCGA.D3.A3C3","2","0.999981164932251"
"TCGA.D3.A3C6","NC","0.7936607003211975"
"TCGA.D3.A3C7","6","0.9980332255363464"
"TCGA.D3.A3C8","2","0.9999910593032837"
"TCGA.D3.A3CB","2","0.9687286615371704"
"TCGA.D3.A3CC","4","0.9937088489532471"
"TCGA.D3.A3CE","NC","0.8723844289779663"
"TCGA.D3.A3CF","2","0.9998887777328491"
"TCGA.D3.A3ML","4","0.9940488338470459"
"TCGA.D3.A3MO","NC","0.7438863515853882"
"TCGA.D3.A3MR","2","0.9912910461425781"
"TCGA.D3.A3MU","NC","0.6448381543159485"
"TCGA.D3.A3MV","4","0.9980970025062561"
"TCGA.D3.A51E","2","0.9974443912506104"
"TCGA.D3.A51F","6","0.9456462860107422"
"TCGA.D3.A51G","1","0.9980752468109131"
"TCGA.D3.A51H","2","0.9999663829803467"
"TCGA.D3.A51J","2","0.9984410405158997"
"TCGA.D3.A51K","2","0.999942421913147"
"TCGA.D3.A51N","2","0.9733235836029053"
"TCGA.D3.A51R","1","0.9988800883293152"
"TCGA.D3.A51T","NC","0.5123627781867981"
"TCGA.D3.A5GL","NC","0.6047406196594238"
"TCGA.D3.A5GN","1","0.9996262788772583"
"TCGA.D3.A5GO","2","0.9998201727867126"
"TCGA.D3.A5GR","NC","0.5314578413963318"
"TCGA.D3.A5GS","NC","0.44167184829711914"
"TCGA.D3.A5GU","NC","0.7861315011978149"
"TCGA.D3.A8GB","2","0.9996970891952515"
"TCGA.D3.A8GC","NC","0.7567999958992004"
"TCGA.D3.A8GD","2","0.9996511936187744"
"TCGA.D3.A8GE","NC","0.6216496825218201"
"TCGA.D3.A8GI","NC","0.8424192070960999"
"TCGA.D3.A8GJ","2","0.999890923500061"
"TCGA.D3.A8GK","NC","0.8725707530975342"
